key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-06-03|12:20|day-28","X","2026-06-03","12:20","28","2026-06-03T17:45:22.491Z","scheduled","6a206382b6bd18fc5447fd0c","","48",""
"TikTok|2026-06-03|16:30|day-28","TikTok","2026-06-03","16:30","28","2026-06-03T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-28-proof-based.mp4","48","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-06-03|18:30|day-28","Instagram","2026-06-03","18:30","28","2026-06-03T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-28-proof-based.mp4","48","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
