key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-05-27|12:20|day-21","X","2026-05-27","12:20","21","2026-05-27T16:20:00.000Z","scheduled","6a1718e9984b73eda05a68c7","","49",""
"TikTok|2026-05-27|16:30|day-21","TikTok","2026-05-27","16:30","21","2026-05-27T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-21-caos-comercial.mp4","49","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-05-27|18:30|day-21","Instagram","2026-05-27","18:30","21","2026-05-27T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-21-caos-comercial.mp4","49","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
