key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-08-31|12:20|day-27","X","2026-08-31","12:20","27","2026-08-31T19:31:11.135Z","scheduled","6a95d1cfbc8169016aeaa17c","","47",""
"TikTok|2026-08-31|16:30|day-27","TikTok","2026-08-31","16:30","27","2026-08-31T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-27-lead-leakage.mp4","47","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-27-lead-leakage.mp4\"" }] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". Did you mean \""video\""?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-27-lead-leakage.mp4\"" }] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ] }"
"Instagram|2026-08-31|18:30|day-27","Instagram","2026-08-31","18:30","27","2026-08-31T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-27-lead-leakage.mp4","47","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-27-lead-leakage.mp4\"" }] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". Did you mean \""video\""?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-27-lead-leakage.mp4\"" }] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ] }"
