key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-05-29|12:20|day-23","X","2026-05-29","12:20","23","2026-05-29T16:20:00.000Z","scheduled","6a19bb2600967cb9845e3fab","","47",""
"TikTok|2026-05-29|16:30|day-23","TikTok","2026-05-29","16:30","23","2026-05-29T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-23-lead-leakage.mp4","50","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-05-29|18:30|day-23","Instagram","2026-05-29","18:30","23","2026-05-29T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-23-lead-leakage.mp4","50","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
