key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-05-09|12:20|day-3","X","2026-05-09","12:20","3","2026-05-09T16:20:00.000Z","scheduled","69ff3d6f8c697e6b3c1b790a","","49",""
"TikTok|2026-05-09|16:30|day-3","TikTok","2026-05-09","16:30","3","2026-05-09T20:30:00.000Z","scheduled","69ff3d6f8c697e6b3c1b7930","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-03-infraestructura-comercial.mp4","49",""
"Instagram|2026-05-09|18:30|day-3","Instagram","2026-05-09","18:30","3","2026-05-09T22:30:00.000Z","scheduled","69ff3d702789e816c90fe1ff","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-03-infraestructura-comercial.mp4","49",""
