key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-06-26|12:20|day-21","X","2026-06-26","12:20","21","2026-06-26T16:20:00.000Z","scheduled","6a3e95d0e7c89f460300f953","","49",""
"TikTok|2026-06-26|16:30|day-21","TikTok","2026-06-26","16:30","21","2026-06-26T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-21-caos-comercial.mp4","49","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-06-26|18:30|day-21","Instagram","2026-06-26","18:30","21","2026-06-26T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-21-caos-comercial.mp4","49","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
