key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-08-19|12:20|day-15","X","2026-08-19","12:20","15","2026-08-19T16:20:00.000Z","scheduled","6a85adfd72f1f87674afa810","","49",""
"TikTok|2026-08-19|16:30|day-15","TikTok","2026-08-19","16:30","15","2026-08-19T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-15-fake-ui.mp4","49","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-15-fake-ui.mp4\"" }] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". Did you mean \""video\""?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-15-fake-ui.mp4\"" }] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ] }"
"Instagram|2026-08-19|18:30|day-15","Instagram","2026-08-19","18:30","15","2026-08-19T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-15-fake-ui.mp4","49","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-15-fake-ui.mp4\"" }] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". Did you mean \""video\""?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-15-fake-ui.mp4\"" }] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ] }"
