key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-06-21|12:20|day-16","X","2026-06-21","12:20","16","2026-06-21T16:20:00.000Z","scheduled","6a37f762c60cd51a10950867","","46",""
"TikTok|2026-06-21|16:30|day-16","TikTok","2026-06-21","16:30","16","2026-06-21T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-16-lead-leakage.mp4","46","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-06-21|18:30|day-16","Instagram","2026-06-21","18:30","16","2026-06-21T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-16-lead-leakage.mp4","46","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
