key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-09-08|12:20|day-5","X","2026-09-08","12:20","5","2026-09-08T17:05:46.929Z","scheduled","6aa03bbb6c0fd3f122b6e720","","46",""
"TikTok|2026-09-08|16:30|day-5","TikTok","2026-09-08","16:30","5","2026-09-08T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-05-tiempo-de-enfriamiento.mp4","46","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-05-tiempo-de-enfriamiento.mp4\"" }] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". Did you mean \""video\""?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-05-tiempo-de-enfriamiento.mp4\"" }] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ] }"
"Instagram|2026-09-08|18:30|day-5","Instagram","2026-09-08","18:30","5","2026-09-08T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-05-tiempo-de-enfriamiento.mp4","46","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-05-tiempo-de-enfriamiento.mp4\"" }] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". Did you mean \""video\""?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-05-tiempo-de-enfriamiento.mp4\"" }] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ] }"
