key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-08-10|12:20|day-6","X","2026-08-10","12:20","6","2026-08-10T16:20:00.000Z","scheduled","6a79d75d002db87f2608b7c9","","47",""
"TikTok|2026-08-10|16:30|day-6","TikTok","2026-08-10","16:30","6","2026-08-10T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-06-caos-comercial.mp4","47","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-06-caos-comercial.mp4\"" }] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". Did you mean \""video\""?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-06-caos-comercial.mp4\"" }] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ] }"
"Instagram|2026-08-10|18:30|day-6","Instagram","2026-08-10","18:30","6","2026-08-10T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-06-caos-comercial.mp4","47","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-06-caos-comercial.mp4\"" }] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". Did you mean \""video\""?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [{ url: \""https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-06-caos-comercial.mp4\"" }] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ] }"
