key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-07-08|12:20|day-3","X","2026-07-08","12:20","3","2026-07-08T16:20:00.000Z","scheduled","6a4e629f76cab589270e5fe2","","49",""
"TikTok|2026-07-08|16:30|day-3","TikTok","2026-07-08","16:30","3","2026-07-08T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-03-infraestructura-comercial.mp4","49","{   ""errors"": [     {       ""message"": ""Argument \""input\"" of non-null type \""CreatePostInput!\"" must not be null."",       ""locations"": [         {           ""line"": 3,           ""column"": 25         }       ],       ""path"": [         ""createPost""       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ],   ""data"": null }"
"Instagram|2026-07-08|18:30|day-3","Instagram","2026-07-08","18:30","3","2026-07-08T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-03-infraestructura-comercial.mp4","49","{   ""errors"": [     {       ""message"": ""Argument \""input\"" of non-null type \""CreatePostInput!\"" must not be null."",       ""locations"": [         {           ""line"": 3,           ""column"": 25         }       ],       ""path"": [         ""createPost""       ],       ""extensions"": {         ""code"": ""INTERNAL_SERVER_ERROR""       }     }   ],   ""data"": null }"
