key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-06-17|12:20|day-12","X","2026-06-17","12:20","12","2026-06-17T16:20:00.000Z","scheduled","6a32c6e13835f2357aee80d4","","47",""
"TikTok|2026-06-17|16:30|day-12","TikTok","2026-06-17","16:30","12","2026-06-17T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-12-infraestructura-comercial.mp4","47","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-06-17|18:30|day-12","Instagram","2026-06-17","18:30","12","2026-06-17T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-12-infraestructura-comercial.mp4","47","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
