key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-06-15|12:20|day-10","X","2026-06-15","12:20","10","2026-06-15T17:53:07.054Z","scheduled","6a303753da575e4424679dc2","","48",""
"TikTok|2026-06-15|16:30|day-10","TikTok","2026-06-15","16:30","10","2026-06-15T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-10-framework.mp4","48","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-06-15|18:30|day-10","Instagram","2026-06-15","18:30","10","2026-06-15T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-10-framework.mp4","48","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
