key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-05-12|12:20|day-6","X","2026-05-12","12:20","6","2026-05-12T16:20:00.000Z","error","","","47","Invalid post: Whoops, it looks like you've posted that one recently. Unfortunately, we're not able to post the same thing again so soon!"
"TikTok|2026-05-12|16:30|day-6","TikTok","2026-05-12","16:30","6","2026-05-12T20:30:00.000Z","scheduled","6a0344b71b4c3ba91442bf46","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-06-caos-comercial.mp4","47",""
"Instagram|2026-05-12|18:30|day-6","Instagram","2026-05-12","18:30","6","2026-05-12T22:30:00.000Z","scheduled","6a0344b71b4c3ba91442bf6c","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-06-caos-comercial.mp4","47",""
