key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-06-20|12:20|day-15","X","2026-06-20","12:20","15","2026-06-20T16:20:00.000Z","scheduled","6a36a5d3cfab3643d8c7b4fb","","49",""
"TikTok|2026-06-20|16:30|day-15","TikTok","2026-06-20","16:30","15","2026-06-20T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-15-fake-ui.mp4","49","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-06-20|18:30|day-15","Instagram","2026-06-20","18:30","15","2026-06-20T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-15-fake-ui.mp4","49","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
