key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-05-10|12:20|day-4","X","2026-05-10","12:20","4","2026-05-10T16:20:00.000Z","error","","","46","Invalid post: Whoops, it looks like you've posted that one recently. Unfortunately, we're not able to post the same thing again so soon!"
"TikTok|2026-05-10|16:30|day-4","TikTok","2026-05-10","16:30","4","2026-05-10T20:30:00.000Z","scheduled","6a008f788c697e6b3c26b012","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-04-lead-leakage.mp4","46",""
"Instagram|2026-05-10|18:30|day-4","Instagram","2026-05-10","18:30","4","2026-05-10T22:30:00.000Z","scheduled","6a008f798c697e6b3c26b04e","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-04-lead-leakage.mp4","46",""
