key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-07-04|12:20|day-29","X","2026-07-04","12:20","29","2026-07-04T16:20:00.000Z","scheduled","6a4913527e9abd13f0cd86bb","","50",""
"TikTok|2026-07-04|16:30|day-29","TikTok","2026-07-04","16:30","29","2026-07-04T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-29-framework.mp4","50","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-07-04|18:30|day-29","Instagram","2026-07-04","18:30","29","2026-07-04T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-29-framework.mp4","50","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     },     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Exactly one key must be specified for OneOf type \""AssetInput\""."",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
