key,network,date,time,day,due_at,status,post_id,asset,score,error
"X|2026-05-31|12:20|day-25","X","2026-05-31","12:20","25","2026-05-31T16:20:00.000Z","scheduled","6a1c42d173337d7a137a9989","","50",""
"TikTok|2026-05-31|16:30|day-25","TikTok","2026-05-31","16:30","25","2026-05-31T20:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-25-fake-ui.mp4","50","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
"Instagram|2026-05-31|18:30|day-25","Instagram","2026-05-31","18:30","25","2026-05-31T22:30:00.000Z","error","","https://raw.githubusercontent.com/nicolass309/leadops-assets/main/leadops/month-01/videos/day-25-fake-ui.mp4","50","{   ""errors"": [     {       ""message"": ""Variable \""$input\"" got invalid value { videos: [[Object]] } at \""input.assets\""; Field \""videos\"" is not defined by type \""AssetInput\"". [Suggestion hidden]?"",       ""locations"": [         {           ""line"": 2,           ""column"": 25         }       ],       ""extensions"": {         ""code"": ""BAD_USER_INPUT""       }     }   ] }"
